timestamp,roll_deg,pitch_deg,yaw_deg,quat_w,quat_x,quat_y,quat_z
0.0123,-165.29,-34.47,-45.10,-0.0001,0.8892,-0.3283,0.3183
0.0200,-165.36,-34.49,-45.05,0.0003,0.8894,-0.3280,0.3182
0.0284,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0397,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0518,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0645,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0757,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0863,-165.37,-34.57,-45.05,0.0007,0.8892,-0.3279,0.3188
0.0950,-165.38,-34.60,-44.93,0.0006,0.8894,-0.3270,0.3190
0.1076,-165.35,-34.71,-44.91,0.0006,0.8893,-0.3265,0.3199
0.1200,-165.35,-34.71,-44.91,0.0006,0.8893,-0.3265,0.3199
0.1266,-165.35,-34.77,-44.86,0.0007,0.8893,-0.3260,0.3204
0.1393,-165.35,-34.77,-44.86,0.0007,0.8893,-0.3260,0.3204
0.1507,-165.35,-34.77,-44.86,0.0007,0.8893,-0.3260,0.3204
0.1612,-165.35,-34.77,-44.86,0.0007,0.8893,-0.3260,0.3204
0.1720,-165.35,-34.77,-44.86,0.0007,0.8893,-0.3260,0.3204
0.1781,-165.63,-34.80,-44.51,0.0020,0.8903,-0.3240,0.3198
0.1897,-165.63,-34.80,-44.51,0.0020,0.8903,-0.3240,0.3198
0.2021,-165.63,-34.80,-44.51,0.0020,0.8903,-0.3240,0.3198
0.2128,-165.63,-34.80,-44.51,0.0020,0.8903,-0.3240,0.3198
0.2250,-165.61,-34.84,-44.45,0.0018,0.8903,-0.3234,0.3202
0.2364,-165.61,-34.84,-44.45,0.0018,0.8903,-0.3234,0.3202
0.2483,-165.61,-34.84,-44.45,0.0018,0.8903,-0.3234,0.3202
0.2611,-165.61,-34.84,-44.45,0.0018,0.8903,-0.3234,0.3202
0.2734,-165.61,-34.84,-44.45,0.0018,0.8903,-0.3234,0.3202
0.2813,-165.64,-34.79,-44.31,0.0015,0.8908,-0.3225,0.3197
0.2931,-165.64,-34.79,-44.31,0.0015,0.8908,-0.3225,0.3197
0.3049,-165.64,-34.79,-44.31,0.0015,0.8908,-0.3225,0.3197
0.3139,-165.63,-34.79,-44.36,0.0015,0.8908,-0.3228,0.3197
0.3290,-165.67,-34.71,-44.37,0.0016,0.8908,-0.3232,0.3190
0.3418,-165.67,-34.71,-44.37,0.0016,0.8908,-0.3232,0.3190
0.3526,-165.67,-34.71,-44.37,0.0016,0.8908,-0.3232,0.3190
0.3653,-165.67,-34.71,-44.37,0.0016,0.8908,-0.3232,0.3190
0.3753,-165.87,-34.60,-44.45,0.0030,0.8908,-0.3246,0.3176
0.3809,-166.02,-34.52,-44.44,0.0039,0.8910,-0.3251,0.3166
0.3930,-166.02,-34.52,-44.44,0.0039,0.8910,-0.3251,0.3166
0.4051,-166.02,-34.52,-44.44,0.0039,0.8910,-0.3251,0.3166
0.4162,-166.02,-34.52,-44.44,0.0039,0.8910,-0.3251,0.3166
0.4275,-166.02,-34.52,-44.44,0.0039,0.8910,-0.3251,0.3166
0.4361,-166.10,-34.56,-44.46,0.0047,0.8908,-0.3254,0.3167
0.4437,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.4558,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.4687,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.4814,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.4942,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.5058,-166.33,-34.40,-44.60,0.0063,0.8908,-0.3274,0.3148
0.5125,-167.15,-33.91,-44.97,0.0120,0.8906,-0.3334,0.3087
0.5243,-167.15,-33.91,-44.97,0.0120,0.8906,-0.3334,0.3087
0.5363,-167.15,-33.91,-44.97,0.0120,0.8906,-0.3334,0.3087
0.5416,-168.43,-33.09,-44.60,0.0182,0.8931,-0.3354,0.2988
0.5527,-168.43,-33.09,-44.60,0.0182,0.8931,-0.3354,0.2988
0.5638,-168.43,-33.09,-44.60,0.0182,0.8931,-0.3354,0.2988
0.5754,-168.43,-33.09,-44.60,0.0182,0.8931,-0.3354,0.2988
0.5815,-169.73,-32.90,-44.63,0.0277,0.8932,-0.3393,0.2935
0.5876,-171.85,-32.69,-44.57,0.0434,0.8931,-0.3445,0.2856
0.6003,-171.85,-32.69,-44.57,0.0434,0.8931,-0.3445,0.2856
0.6110,-171.85,-32.69,-44.57,0.0434,0.8931,-0.3445,0.2856
0.6227,-171.85,-32.69,-44.57,0.0434,0.8931,-0.3445,0.2856
0.6345,-171.85,-32.69,-44.57,0.0434,0.8931,-0.3445,0.2856
0.6478,-172.71,-32.91,-44.57,0.0508,0.8923,-0.3463,0.2847
0.6537,-174.43,-32.99,-44.17,0.0635,0.8926,-0.3473,0.2803
0.6674,-174.44,-33.32,-44.35,0.0651,0.8913,-0.3483,0.2827
0.6786,-174.44,-33.32,-44.35,0.0651,0.8913,-0.3483,0.2827
0.6875,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.6980,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.7100,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.7225,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.7337,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.7442,-174.78,-33.58,-44.18,0.0682,0.8910,-0.3475,0.2838
0.7519,-174.89,-34.69,-44.18,0.0726,0.8885,-0.3463,0.2920
0.7623,-174.89,-34.69,-44.18,0.0726,0.8885,-0.3463,0.2920
0.7726,-174.89,-34.69,-44.18,0.0726,0.8885,-0.3463,0.2920
0.7839,-174.89,-34.69,-44.18,0.0726,0.8885,-0.3463,0.2920
0.7990,-174.89,-34.69,-44.18,0.0726,0.8885,-0.3463,0.2920
0.8064,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8170,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8276,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8394,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8509,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8612,-174.47,-35.29,-44.49,0.0721,0.8865,-0.3468,0.2976
0.8665,-173.43,-35.25,-45.03,0.0654,0.8854,-0.3484,0.3002
0.8796,-173.43,-35.25,-45.03,0.0654,0.8854,-0.3484,0.3002
0.8968,-173.43,-35.25,-45.03,0.0654,0.8854,-0.3484,0.3002
0.9096,-173.08,-35.04,-45.15,0.0623,0.8858,-0.3487,0.2996
0.9199,-173.08,-35.04,-45.15,0.0623,0.8858,-0.3487,0.2996
0.9325,-173.08,-35.04,-45.15,0.0623,0.8858,-0.3487,0.2996
0.9443,-173.08,-35.04,-45.15,0.0623,0.8858,-0.3487,0.2996
0.9512,-172.92,-35.08,-45.22,0.0614,0.8855,-0.3488,0.3003
0.9612,-172.93,-35.07,-45.15,0.0612,0.8858,-0.3482,0.3003
0.9776,-173.15,-35.08,-44.96,0.0624,0.8863,-0.3473,0.2998
0.9897,-173.15,-35.08,-44.96,0.0624,0.8863,-0.3473,0.2998
1.0024,-173.15,-35.08,-44.96,0.0624,0.8863,-0.3473,0.2998
1.0134,-173.15,-35.08,-44.96,0.0624,0.8863,-0.3473,0.2998
1.0188,-173.23,-35.15,-44.89,0.0631,0.8863,-0.3469,0.3001
1.0364,-173.36,-35.18,-44.74,0.0638,0.8866,-0.3460,0.3000
1.0475,-173.36,-35.18,-44.74,0.0638,0.8866,-0.3460,0.3000
1.0593,-173.36,-35.18,-44.74,0.0638,0.8866,-0.3460,0.3000
1.0688,-173.39,-35.17,-44.63,0.0637,0.8869,-0.3453,0.2999
1.0838,-173.28,-35.17,-44.63,0.0629,0.8869,-0.3450,0.3003
1.0962,-173.28,-35.17,-44.63,0.0629,0.8869,-0.3450,0.3003
1.1101,-173.12,-35.15,-44.55,0.0614,0.8873,-0.3440,0.3006
1.1212,-173.12,-35.15,-44.55,0.0614,0.8873,-0.3440,0.3006
1.1330,-173.12,-35.15,-44.55,0.0614,0.8873,-0.3440,0.3006
1.1452,-173.12,-35.15,-44.55,0.0614,0.8873,-0.3440,0.3006
1.1574,-172.81,-35.06,-44.53,0.0586,0.8878,-0.3431,0.3009
1.1662,-172.65,-35.03,-44.57,0.0574,0.8878,-0.3431,0.3011
1.1775,-172.65,-35.03,-44.57,0.0574,0.8878,-0.3431,0.3011
1.1851,-172.47,-34.97,-44.60,0.0559,0.8879,-0.3429,0.3012
1.1956,-172.47,-34.97,-44.60,0.0559,0.8879,-0.3429,0.3012
1.2061,-172.47,-34.97,-44.60,0.0559,0.8879,-0.3429,0.3012
1.2208,-172.12,-34.88,-44.66,0.0530,0.8881,-0.3426,0.3015
1.2333,-172.12,-34.88,-44.66,0.0530,0.8881,-0.3426,0.3015
1.2442,-172.12,-34.88,-44.66,0.0530,0.8881,-0.3426,0.3015
1.2582,-171.64,-34.65,-44.73,0.0487,0.8886,-0.3422,0.3012
1.2696,-171.64,-34.65,-44.73,0.0487,0.8886,-0.3422,0.3012
1.2776,-171.33,-34.55,-44.81,0.0462,0.8887,-0.3422,0.3013
1.2896,-171.33,-34.55,-44.81,0.0462,0.8887,-0.3422,0.3013
1.3025,-171.33,-34.55,-44.81,0.0462,0.8887,-0.3422,0.3013
1.3145,-171.33,-34.55,-44.81,0.0462,0.8887,-0.3422,0.3013
1.3257,-171.33,-34.55,-44.81,0.0462,0.8887,-0.3422,0.3013
1.3350,-170.15,-33.56,-44.89,0.0339,0.8910,-0.3413,0.2972
1.3453,-170.15,-33.56,-44.89,0.0339,0.8910,-0.3413,0.2972
1.3562,-170.15,-33.56,-44.89,0.0339,0.8910,-0.3413,0.2972
1.3679,-170.15,-33.56,-44.89,0.0339,0.8910,-0.3413,0.2972
1.3826,-169.18,-33.12,-45.13,0.0255,0.8914,-0.3414,0.2967
